21$APL705$FINITE ELEMENT METHOD                              $B$""$4$3$0$2$100$53$2018$2
306$DSL811$SELECTED TOPICS IN INSTRUMENTATION I               $F$PE$3$3$0$0$30$9$2018$2
307$DSP704$INSTRUMENT TECHNOLOGY LABORATORY II                $P$PC$3$0$0$6$20$16$2018$2
308$DSP711$COMP.  AIDED PRODUCT DETAILING                     $J$PC$3$1$0$4$40$22$2018$2
309$DSP722$APPLIED ERGONOMICS                                 $A$PC$2$1$0$2$40$33$2018$2
310$DSP741$PRODUCT INTERFACE & DESIGN                         $B$PC$2$1$0$2$40$23$2018$2
311$DSR772$TRANSPORTATION DESIGN                              $P$PE$3$2$0$2$20$13$2018$2
312$DSR812$MEDIA STUDIES                                      $D$PE$3$2$0$2$60$21$2018$2
313$DSS720$Independent Study $P$""$3$0$3$0$30$1$2018$2
314$DTD899$DOCTORAL THESIS                                    $X$""$0$0$0$0$5000$2097$2018$2
315$EED854$MAJOR PROJECT PART 2 (EI)                          $P$""$16$0$0$32$30$2$2018$2
316$EED898$MAJOR PROJECT PART II                              $P$""$12$0$0$24$30$1$2018$2
317$EET410$PRACTICAL TRAINING                                 $P$""$0$0$0$0$10$2$2018$2
318$ELD411$B.TECH. PROJECT   I                                $P$""$3$0$0$6$100$14$2018$2
319$ELD431$B.TECH. PROJECT   I                                $P$""$3$0$0$6$100$11$2018$2
320$ELD450$BTP PART II                                        $P$""$8$0$0$16$100$11$2018$2
321$ELD451$BTP PART II                                        $P$""$8$0$0$16$100$0$2018$2
322$ELD452$BTP PART II                                        $P$""$8$0$0$16$100$0$2018$2
323$ELD453$BTP PART II                                        $P$""$8$0$0$16$100$0$2018$2
324$ELD454$BTP PART II                                        $P$""$8$0$0$16$100$0$2018$2
325$ELD455$BTP PART II                                        $P$""$8$0$0$16$100$0$2018$2
326$ELD456$BTP PART II                                        $P$""$8$0$0$16$100$0$2018$2
327$ELD457$BTP PART II                                        $P$""$8$0$0$16$100$1$2018$2
328$ELD458$BTP PART II                                        $P$""$8$0$0$16$100$0$2018$2
329$ELD459$BTP PART II                                        $P$""$8$0$0$16$100$0$2018$2
330$ELD780$MINOR PROJECT                                      $P$""$2$0$0$4$60$22$2018$2
331$ELD800$MINOR PROJECT (EEA)                                $P$""$3$0$0$6$60$0$2018$2
332$ELD802$MAJOR PROJECT PART II                              $P$""$12$0$0$24$60$4$2018$2
333$ELD810$MINOR PROJECT (COMMUNICATION E                     $P$""$3$0$0$6$60$1$2018$2
334$ELD811$MAJOR PROJECT PART I (COMMUNIC                     $P$""$6$0$0$12$60$0$2018$2
335$ELD812$MAJOR PROJECT PART II                              $P$""$12$0$0$24$60$11$2018$2
336$ELD831$MAJOR PROJECT PART I (INTEGRAT                     $P$""$6$0$0$12$60$1$2018$2
337$ELD832$MAJOR PROJECT PART II                              $P$""$12$0$0$24$60$10$2018$2
338$ELD851$MAJOR PROJECT PART I                               $P$""$6$0$0$12$60$0$2018$2
339$ELD852$MAJOR PROJECT PART II                              $P$""$12$0$0$24$60$9$2018$2
340$ELD871$MAJOR PROJECT PART I                               $P$""$6$0$0$12$60$3$2018$2
341$ELD872$MAJOR PROJECT PART II                              $P$""$12$0$0$24$60$3$2018$2
342$ELD880$MAJOR PROJECT PART I                               $P$""$6$0$0$12$60$15$2018$2
343$ELD881$MAJOR PROJECT PART II                              $P$""$12$0$0$24$60$8$2018$2
344$ELD895$MS RESEARCH PROJECT                                $P$""$36$0$0$72$60$20$2018$2
345$ELL100$INTRO. TO ELECTRICAL ENGG.                         $E$""$4$3$0$2$400$455$2018$2
346$ELL201$DIGITAL ELECTRONICS                                $B$""$4.5$3$0$3$350$276$2018$2
347$ELL205$SIGNALS AND SYSTEMS                                $D$""$4$3$1$0$150$115$2018$2
348$ELL212$ENGINEERING ELECROMAGNETICS                        $E$""$4$3$1$0$150$92$2018$2
349$ELL225$CONTROL ENGINEERING I                              $F$""$4$3$1$0$150$129$2018$2
350$ELL231$POWER ELECTR. & ENERGY DEVICES                     $A$""$3$3$0$0$150$46$2018$2
351$ELL301$ELECTRICAL & ELECTRONIC INSTR.                     $C$""$3$3$0$0$130$119$2018$2
352$ELL303$POWER ENGINEERING I                                $F$""$4$3$1$0$150$145$2018$2
353$ELL319$DIGITAL SIGNAL PROCESSING                          $M$""$4$3$0$2$70$33$2018$2
354$ELL332$ELECTRIC DRIVES                                    $B$""$3$3$0$0$100$67$2018$2
355$ELL365$EMBEDDED SYSTEMS                                   $A$""$3$3$0$0$160$123$2018$2
356$ELL400$POWER SYSTEMS PROTECTION                           $E$""$3$3$0$0$50$34$2018$2
357$ELL402$COMPUTER COMMUNICATION                             $K$""$3$3$0$0$100$12$2018$2
358$ELL409$MACHINE INTELLIGENCE& LEARNING                     $J$""$4$3$0$2$65$66$2018$2
359$ELL411$DIGITAL COMMUNICATIONS                             $F$""$4$3$0$2$120$4$2018$2
360$ELL457$SPECIAL TOPICS IN COGNITIVE & INTELLIGENT SYSTEMS  $M$""$3$3$0$0$50$4$2018$2
361$ELL703$OPTIMAL CONTROL THEORY                             $M$""$3$3$0$0$60$23$2018$2
362$ELL705$STOCHASTIC FILTERING AND IDENT                     $B$""$3$3$0$0$60$20$2018$2
363$ELL715$DIGITAL IMAGE PROCESSING                           $J$""$4$3$0$2$150$65$2018$2
364$ELL717$OPTICAL COMMUNICATION SYSTEMS                      $A$""$3$3$0$0$60$24$2018$2
365$ELL719$DETECTION & ESTIMATION THEORY                      $B$""$3$3$0$0$60$44$2018$2
366$ELL720$ADVANCED DIGITAL SIGNAL PROCES                     $H$""$3$3$0$0$60$14$2018$2
367$ELL723$BROADBAND COMMUNICATION SYSTEM                     $F$""$3$3$0$0$90$65$2018$2
368$ELL725$WIRELESS COMMUNICATIONS                            $M$""$3$3$0$0$60$12$2018$2
369$ELL726$NANOPHOTONICS AND PLASMONICS                       $X$""$3$3$0$0$60$17$2018$2
370$ELL730$I.C. TECHNOLOGY                                    $C$""$3$3$0$0$60$41$2018$2
371$ELL731$MIXED SIGNAL CIRCUIT DESIGN                        $X$""$3$3$0$0$60$27$2018$2
372$ELL742$INTRODUCTION TO MEMS DESIGN                        $X$""$3$3$0$0$60$10$2018$2
373$ELL752$ELECTRIC DRIVE SYSTEM                              $F$""$3$3$0$0$60$21$2018$2
374$ELL759$POWER ELECTRONIC CONVERTERS FO                     $X$""$3$3$0$0$60$12$2018$2
375$ELL760$SWITCHED MODE POWER CONVERSION                     $M$""$3$3$0$0$60$18$2018$2
376$ELL769$ELECTRICAL SYSTEMS FOR CONSTRUCTION INDUSTRIES     $E$""$4$3$0$2$60$23$2018$2
377$ELL776$ADVANCED POWER SYSTEM OPTIMIZA                     $D$""$3$3$0$0$60$17$2018$2
378$ELL778$DYNAMIC MODELLING AND CONTROL                      $H$""$3$3$0$0$60$28$2018$2
379$ELL783$OPERATING SYSTEMS                                  $A$""$4$3$0$2$60$29$2018$2
380$ELL784$INTRODUCTION TO MACHINE LEARNI                     $C$""$3$3$0$0$50$49$2018$2
381$ELL791$NEURAL SYSTEMS AND LEARNING MA                     $J$""$4$3$0$2$20$7$2018$2
382$ELL802$ADAPTIVE AND LEARNING CONTROL                      $AD$""$3$3$0$0$60$22$2018$2
383$ELL803$MODEL REDUCTION IN CONTROL                         $A$""$3$3$0$0$60$1$2018$2
384$ELL805$NETWORKED AND MULTI AGENT CONT                     $X$""$3$3$0$0$60$12$2018$2
385$ELL814$WIRELESS OPTICAL COMMUNICATION                     $H$""$3$3$0$0$60$28$2018$2
386$ELL815$MIMO WIRELESS COMMUNICATIONS                       $E$""$3$3$0$0$60$22$2018$2
387$ELL821$SELECTED TOPICS IN COMMUNICATI                     $X$""$3$3$0$0$60$8$2018$2
388$ELL822$SELECTED TOPICS IN COMMUNICATI                     $X$""$3$3$0$0$60$5$2018$2
389$ELL823$SELECTED TOPICS IN INFORMATION PROCESSING I        $X$""$3$3$0$0$60$26$2018$2
390$ELL824$SELECTED TOPICS ININFORMATION PROCESSING   II      $X$""$3$3$0$0$60$13$2018$2
391$ELL833$CMOS RF IC DESIGN                                  $X$""$3$3$0$0$70$63$2018$2
392$ELL850$DIGITAL CONTROL OF POWER ELECT                     $K$""$3$3$0$0$60$26$2018$2
393$ELL851$COMPUTER AIDED DESIGN OF ELECT                     $D$""$3$3$0$0$60$17$2018$2
394$ELL870$RESTRUCTURED POWER SYSTEM                          $M$""$3$3$0$0$60$14$2018$2
395$ELL880$SPECIAL TOPICS IN COMPUTERS 1                      $X$""$3$3$0$0$60$15$2018$2
396$ELL888$ADVANCED MACHINE LEARNING                          $X$""$3$3$0$0$70$69$2018$2
397$ELL896$Mobile Computing                                   $X$""$3$3$0$0$60$15$2018$2
398$ELP203$ELECTROMECHANICS LABORATORY                        $P$""$1.5$0$0$3$150$131$2018$2
399$ELP302$POWER ELECTRONICS LABORATORY                       $P$""$1.5$0$0$3$140$150$2018$2
400$ELP305$DESIGN AND SYSTEM LABORATORY                       $P$""$1.5$0$0$3$100$197$2018$2
401$ELP311$COMMUNICATION ENGINEERING LAB.                     $D$""$1$0$0$2$220$85$2018$2
402$ELP720$TELECOMMUNICATION NETWORKS LABORATORY              $P$""$3$0$1$4$60$12$2018$2
403$ELP725$WIRELESS COMMUNICATION LABORAT                     $P$""$3$0$1$4$60$30$2018$2
404$ELP736$PHYSICAL DESIGN LABORATORY                         $P$""$3$0$0$6$60$13$2018$2
405$ELP801$ADVANCED CONTROL LABORATORY                        $P$""$2$0$0$4$60$14$2018$2
406$ELP832$IEC LABORATORY II                                  $P$""$3$0$0$6$60$11$2018$2
407$ELP852$ELECTRICAL DRIVES LABORATORY                       $P$""$1.5$0$0$3$60$11$2018$2
408$ELP853$DSP BASED CONTROL OF POWER ELE                     $P$""$1.5$0$0$3$60$11$2018$2
409$ELP871$POWER SYSTEM LAB 2                                 $P$""$3$0$1$4$60$16$2018$2
410$ELQ301$SEMINAR COURSE   I                                 $P$""$1$0$0$2$100$101$2018$2
411$ELS310$INDEPENDENT STUDY (EE1)                            $P$""$3$0$3$0$100$15$2018$2
412$ELS330$INDEPENDENT STUDY (EE3)                            $P$""$3$0$3$0$100$8$2018$2
413$ELS880$Independent Study $P$""$3$3$0$0$60$1$2018$2
414$ELV780$SPECIAL MODULE IN COMPUTERS                        $X$""$1$1$0$0$60$20$2018$2
415$ELV781$SPECIAL MODULE IN INFORMATIONPROCESSING  I         $X$""$1$1$0$0$25$21$2018$2
416$EPC410$COLLOQUIUM (PH)                                    $P$""$3$0$3$0$5$2$2018$2
417$ESL300$SELF ORGANIZING DYNAMICAL SYSTEMS                  $J$""$3$3$0$0$60$61$2018$2
418$ESL330$ENERGY, ECOLOGY AND ENVIRONMENT                    $D$""$4$3$1$0$60$61$2018$2
419$ESL340$NON CONVENTIONAL SOURCES OF ENERGY                 $E$""$4$3$0$2$60$15$2018$2
420$ESL350$ENERGY CONSERVATION MANAGEMENT                     $X$""$3$3$0$0$75$62$2018$2
421$ESL360$DIRECT ENERGY CONVERSION                           $F$""$4$3$1$0$60$16$2018$2
422$ESL710$ENERGY,ECOLOGY AND ENVIRONMENT                     $D$""$3$3$0$0$60$35$2018$2
423$ESL714$POWER PLANT ENGG.                                  $H$""$3$3$0$0$60$16$2018$2
424$ESL718$POWER GENERATION ,TRANSMISSION & DISTRIBUTION      $M$""$3$3$0$0$60$12$2018$2
425$ESL730$DIRECT ENERGY CONVERSION                           $B$""$3$3$0$0$60$24$2018$2
426$ESL734$NUCLEAR ENERGY                                     $E$""$3$3$0$0$60$12$2018$2
427$ESL750$ECONOMICS & PLANNING OF ENERGY SYSTEMS             $A$""$3$3$0$0$60$29$2018$2
428$ESL755$SOLAR PHOTOVOLTAIC DEVICES AND SYSTEMS             $F$""$3$3$0$0$60$14$2018$2
429$ESL796$OPERATION AND CONTROL OF ELECTRICAL ENERGY SYSTEMS $AA$""$3$3$0$0$60$8$2018$2
430$ESL840$SOLAR ARCHITECTURE                                 $AA$""$3$3$0$0$60$7$2018$2
431$ESL871$ADVANCAED FUSION ENERGY                            $F$""$3$3$0$0$60$11$2018$2
432$ESL880$SOLAR THERMAL POWER GENERATION                     $M$""$3$3$0$0$60$11$2018$2
433$ESP713$ENERGY LABORATORY                                  $P$PC$3$0$0$6$35$23$2018$2
434$ESQ301$SEMINAR COURSE   I                                 $X$""$1$0$0$2$25$26$2018$2
435$ESQ303$SEMINAR COURSE III                                 $X$""$1$0$0$2$25$24$2018$2
436$ESQ304$SEMINAR COURSE IV                                  $X$""$1$0$0$2$25$24$2018$2
437$ESQ306$SEMINAR COURSE ON BIOENERGY                        $X$""$1$0$0$2$25$17$2018$2
438$ESQ307$SEMINAR COURSE ON NUCLEARENERGY AND FUTURISTIC USE $X$""$1$0$0$2$25$25$2018$2
439$ESQ308$SEMINAR COURSE ONENERGY ENVIRONMENT INTERACTION    $X$""$1$0$0$2$25$22$2018$2
440$ESQ309$SEMINAR COURSE ON ALTERNATIVEFUELS FOR TRANSPORTAT $X$""$1$0$0$2$25$23$2018$2
441$ESQ310$NGU: Seminar Course on Multiphase Flows in the Energy Sector $X$""$1$0$0$2$25$4$2018$2
442$HSD700$SEMINAR (CASE MATERIAL BASED)MINOR PROJECT         $X$""$3$0$0$6$60$6$2018$2
443$HSL262$Social Psychological Approaches to Health and Wellbeing $A$HU$4$3$1$0$46$53$2018$2
444$HSL701$INTRODUCTION TO SCIENCE ANDTECHNOLOGY POLICY STUDI $X$""$1.5$1$0$1$30$12$2018$2
445$HSL702$Approaches to Science and Technology Policy Studies $X$""$1.5$1.5$0$0$9$10$2018$2
446$HSL713$MACROECONOMICS                                     $B$""$3$3$0$0$60$12$2018$2
447$HSL719$ADVANCED ECONOMETRICS                              $X$""$3$3$0$0$30$5$2018$2
448$HSL731$WHAT IS A TEXT                                     $X$""$3$3$0$0$30$9$2018$2
449$HSL751$CRITICAL READING IN PHILOSOPHICAL                  $X$""$3$3$0$0$30$6$2018$2
450$HSL766$The Psychology of Leadership and Social Change $M$PC$3$3$0$0$30$8$2018$2
451$HSL772$SOCIOLOGY OF INDIA                                 $X$""$3$3$0$0$30$7$2018$2
452$HSL800A$RESEARCH WRITING                                   $A$""$3$3$0$0$90$82$2018$2
453$HSL800B$RESEARCH WRITING                                   $M$""$3$3$0$0$90$144$2018$2
454$HSL841$MINIMALIST ARCHITECTURE OF GRAMMAR                 $X$""$3$3$0$0$60$3$2018$2
455$HSL852$POLITICAL PHILOSOPHY                               $AC$OE$3$3$0$0$30$18$2018$2
456$HSL860$ADVANCED TOPICS IN PHILOSOPHY                      $X$""$3$3$0$0$60$13$2018$2
457$HSV319$Global Political Economy $X$""$1$1$0$0$100$0$2018$2
458$HSV748$DATA ANALYSIS FOR PSYCHOLINGUISTICS USING R        $X$""$2$2$0$0$60$14$2018$2
459$HSV781$Introduction to research methodology $X$""$1.5$1.5$0$0$30$22$2018$2
460$HUL211A$INTRODUCTION TO ECONOMICS                          $A$HU$4$3$1$0$100$101$2018$2
461$HUL211B$INTRODUCTION TO ECONOMICS                          $M$HU$4$3$1$0$100$95$2018$2
1$AMD310$MINI PROJECT (AM)                                  $P$""$3$0$0$6$30$7$2018$2
2$AMD811$MAJOR PROJECT PART I                               $P$""$6$0$0$12$30$0$2018$2
3$AMD812$MAJOR PROJECT PART II                              $P$""$12$0$0$24$30$31$2018$2
4$AMD813$MAJOR PROJECT PART I                               $P$""$6$0$0$12$30$1$2018$2
5$AMD814$MAJOR PROJECT PART II                              $P$""$12$0$0$24$30$4$2018$2
6$AMD895$MAJOR PROJECT                                      $P$""$40$0$0$80$30$2$2018$2
7$AMD897$MINOR PROJECT                                      $X$""$4$0$0$8$60$25$2018$2
8$AML702$APPLIED COMPUTATIONAL METHOD                       $F$""$4$3$0$2$100$36$2018$2
9$AML706$FINITE ELEMENT METHODS & ITS APPL.TO MARINE STRU.  $B$""$3$3$0$0$100$32$2018$2
10$AML731$APPLIED ELASTICITY                                 $X$""$4$3$1$0$60$9$2018$2
11$AML793$SHIP DYNAMICS                                      $X$""$3$3$0$0$60$25$2018$2
12$AML795$SUBMARINE DESIGN                                   $X$""$3$3$0$0$60$25$2018$2
13$AML831$THEORY OF PLATES AND SHELLS                        $A$""$3$3$0$0$50$21$2018$2
14$AML832$APPLICATIONS OF THEORY OF PLATES AND SHELLS        $A$""$2$2$0$0$50$29$2018$2
15$AML835$MECHANICS OF COMPOSITE MATERIALS                   $X$""$3$3$0$0$40$20$2018$2
16$AMP776$PRODUCT DESIGN PROJECT 1                           $F$""$4$2$0$4$60$20$2018$2
17$APL100$ENGINEERING MECHANICS                              $A$""$4$3$1$0$250$469$2018$2
18$APL102$INTR.TO MATERIAL SC. & ENGG.                       $E$""$4$3$0$2$300$131$2018$2
19$APL105$MECHANICS OF SOLIDS AND FLUIDS                     $A$""$4$3$1$0$150$122$2018$2
20$APL300$COMPUTATIONAL MECHANICS                            $A$""$4$3$0$2$100$31$2018$2
278$CVL863$General Continuum Mechanics $J$""$3$3$0$0$50$6$2018$2
471$HUL286B$SOCIAL SCIENCE APPROACHES TO DEVELOPMENT           $B$HU$4$3$1$0$100$101$2018$2
472$HUL307$FANTASY LITERATURE                                 $H$HU$3$3$0$0$34$32$2018$2
473$HUL315$ECONOMETRIC METHODS                                $M$HU$3$3$0$0$35$42$2018$2
474$HUL316$INDIAN ECONOMIC PROBLEMS AND POLICIES              $M$HU$3$3$0$0$35$44$2018$2
475$HUL320$SELECTED TOPICS IN ECONOMICS                       $M$HU$3$3$0$0$35$36$2018$2
476$HUL335$INDIAN THEATRE                                     $M$HU$3$3$0$0$29$28$2018$2
477$HUL356$BUDDHISM ACROSS TIME AND PLACE                     $M$""$3$3$0$0$35$35$2018$2
478$HUL360$SELECTED TOPICS IN PHILOSOPHY                      $A$HU$3$3$0$0$35$37$2018$2
479$HUL362$ORGANIZATIONAL BEHAVIOUR                           $M$HU$3$3$0$0$35$36$2018$2
480$HUL370$SELECTED TOPICS IN PSYCHOLOGY                      $B$HU$3$3$0$0$35$42$2018$2
481$HUL371A$SCIENCE, TECHNOLOGY AND SOCIETY                    $A$HU$3$3$0$0$34$37$2018$2
482$HUL371B$SCIENCE, TECHNOLOGY AND SOCIETY                    $M$HU$3$3$0$0$30$33$2018$2
483$HUL375$THE SOCIOLOGY OF RELIGION                          $J$HU$3$3$0$0$35$35$2018$2
484$HUL376$POLITICAL ECOLOGY OF WATER                         $M$HU$3$3$0$0$35$36$2018$2
485$HUL378$INDUSTRY AND WORK CULTURE UNDE                     $H$HU$3$3$0$0$35$35$2018$2
486$HUL380$SELECTED TOPICS IN SOCIOLOGY                       $J$HU$3$3$0$0$35$36$2018$2
487$HUL381A$MIND                                               $M$HU$3$3$0$0$33$32$2018$2
488$HUL381B$MIND                                               $A$HU$3$3$0$0$35$35$2018$2
489$HUL743$Language Acquisition, Teaching and Assessment $B$""$3$3$0$0$30$3$2018$2
490$HUL763$Cognitive Psychology $J$""$3$3$0$0$30$17$2018$2
491$HUL843$THE PHILOSOPHY OF LANGUAGE                         $X$""$3$3$0$0$30$7$2018$2
492$HUL861$Psychology of Decision Making $AA$""$3$3$0$0$30$12$2018$2
493$HUL874$Civil Society and Democracy in India $X$""$3$3$0$0$60$4$2018$2
494$HUL875$Ethnic Identity, Development and Democratization in North east India $AA$""$3$3$0$0$30$3$2018$2
495$HUL888$APPLIED LINGUISTICS                                $X$""$3$3$0$0$30$3$2018$2
496$HUV705$Climate policy, politics and governance $X$HU$1$1$0$0$29$28$2018$2
497$HUV751$CURRENT TRENDS IN PSYCHOLINGUISTICS                $X$""$1$1$0$0$60$34$2018$2
498$ITL702$DIAGNOSTIC MAINTENANCE AND MONITORING              $J$""$4$3$0$2$60$16$2018$2
499$ITL711$RELIABILITY AVAILABILITY AND MAINTAINABILITY(RAM)  $F$""$3$3$0$0$60$21$2018$2
500$ITL714$FAILURE ANALYSIS AND REPAIR                        $B$""$4$3$0$2$60$15$2018$2
501$ITL717$CORROSION AND ITS CONTROL                          $A$""$3$3$0$0$60$9$2018$2
502$JID802$MAJOR PROJECT PART II                              $P$""$12$0$0$24$60$12$2018$2
503$JOD802$MAJOR PROJECT PART II                              $P$""$12$0$0$24$60$8$2018$2
504$JOP792$FIBER OPTICS AND OPTICAL COMMUNICATION LAB.II      $P$""$3$0$0$6$60$22$2018$2
505$JPD802$MAJOR PROJECT PART II                              $A$""$12$0$0$24$60$14$2018$2
506$JRD301$MINI PROJECT IN ROBOTICS                           $P$""$7$0$0$14$20$7$2018$2
507$JSD801$MAJOR PROJECT PART I                               $P$PC$6$0$0$12$35$0$2018$2
508$JSD802$MAJOR PROJECT PART II                              $P$PE$12$0$0$24$35$6$2018$2
509$JTD792$MINOR PROJECT                                      $P$""$3$0$0$6$60$15$2018$2
510$JTD802$MAJOR PROJECT PART II                              $P$""$12$0$0$24$60$9$2018$2
511$JVD809$MINOR PROJECT                                      $P$""$6$0$0$12$60$0$2018$2
512$JVD811$MAJOR PROJECT PART I                               $P$""$12$0$0$24$60$1$2018$2
513$JVD812$MAJOR PROJECT PART II                              $P$""$12$0$0$24$60$7$2018$2
514$MAD852$MAJOR PROJECT PART 2 (MT)                          $P$""$14$0$0$28$30$2$2018$2
515$MCD310$MINI PROJECT                                       $P$""$3$0$0$6$100$19$2018$2
516$MCD411$B.TECH.PROJECT                                     $P$""$4$0$0$8$100$28$2018$2
517$MCD412$B.TECH.PROJECT   II                                $P$""$7$0$0$14$100$54$2018$2
518$MCD812$MAJOR PROJECT PART II (THERMALENGINEERING)         $P$""$12$0$0$24$60$18$2018$2
519$MCD832$MAJOR PROJECT PART II                              $P$""$12$0$0$24$60$14$2018$2
520$MCD862$MAJOR PROJECT PART II                              $Q$""$12$0$0$24$60$7$2018$2
521$MCD882$MAJOR PROJECT PART 2                               $X$""$12$0$0$24$60$8$2018$2
522$MCD895$MAJOR PROJECT                                      $P$""$40$0$0$80$60$2$2018$2
523$MCL131$MANUFACTURING PROCESSES I                          $F$""$3$3$0$0$100$72$2018$2
524$MCL132$METAL FORMING AND PRESS TOOLS                      $H$""$3$3$0$0$100$64$2018$2
525$MCL133$NEAR NET SHAPE MANUFACTURING                       $F$""$3$3$0$0$100$66$2018$2
526$MCL136$MATERIAL REMOVAL PROCESSES                         $H$""$3$3$0$0$100$68$2018$2
527$MCL142$THERMAL SC. FOR ELE. ENGINEERS                     $D$""$3$3$0$0$100$131$2018$2
528$MCL201$MECHANICAL ENGG. DRAWING                           $E$DC$3.5$2$0$3$100$133$2018$2
529$MCL212$CONTROL THEORY & APPLICATIONS                      $B$DC$4$3$0$2$100$151$2018$2
530$MCL241$ENERGY SYSTEMS AND TECH.                           $B$""$3.5$3$0$1$100$73$2018$2
531$MCL311$CAD & FINITE ELEMENT ANALYSIS                      $E$DC$4$3$0$2$100$146$2018$2
532$MCL321$AUTOMOTIVE SYSTEMS                                 $F$DE$4$3$0$2$60$32$2018$2
533$MCL331$MICRO AND NANO MANUFACTURING                       $A$""$3$3$0$0$100$55$2018$2
534$MCL343$INTRODUCTION TO COMBUSTION                         $J$""$3$3$0$0$100$31$2018$2
535$MCL347$INTERMEDIATE HEAT TRANSFER                         $H$""$3$3$0$0$60$37$2018$2
536$MCL361$MANUFACTURING SYSTEM DESIGN                        $D$""$3$3$0$0$100$141$2018$2
537$MCL380$SPL. TOPICS IN MECHANICAL ENGG                     $H$""$3$3$0$0$100$12$2018$2
538$MCL421$AUTOMOTIVE STRUCTURAL DESIGN                       $H$DE$3$2$0$2$60$7$2018$2
539$MCL443$ELECTROCHEMICAL ENERGY SYSTEMS                     $B$""$3$3$0$0$25$10$2018$2
540$MCL705$EXPERIMENTAL METHODS                               $C$PC$4$3$0$2$60$54$2018$2
541$MCL723$Vehicle Dynamics $C$DE$3$3$0$0$30$12$2018$2
542$MCL730$DESIGNING WITH ADVANCE MATERIALS                   $B$""$4$3$0$2$40$24$2018$2
543$MCL733$VIBRATIONS AND NOISE ENGINEERING                   $A$DE,PE$4$3$0$2$50$30$2018$2
544$MCL736$AUTOMOTIVE DESIGN                                  $H$DE,PE$4$3$0$2$40$15$2018$2
545$MCL738$DYNAMICS OF MULTIBODY SYSTEMS                      $F$DE,PE$3$2$0$2$40$15$2018$2
546$MCL741$CONTROL ENGINEERING                                $C$PE$4$3$0$2$25$13$2018$2
547$MCL743$PLANT EQUIPMENT DESIGN                             $F$DE,PE$3$3$0$0$40$26$2018$2
548$MCL745$ROBOTICS                                           $H$DE,PE$4$3$0$2$40$21$2018$2
549$MCL747$DESIGN OF PRECISION MACHINES                       $F$DE,PE$3$2$0$2$40$20$2018$2
550$MCL754$OPERATIONS PLANNING AND CONTRO                     $B$PC$3$3$0$0$60$19$2018$2
551$MCL759$ENTREPRENEURSHIP                                   $K$PE$3$3$0$0$40$51$2018$2
552$MCL770$STOCHASTIC MODELING AND SIMULATION                 $A$PE$3$3$0$0$60$10$2018$2
553$MCL771$VALUE ENGINEERING AND LIFE CYC                     $H$PE$3$3$0$0$50$32$2018$2
554$MCL778$DESIGN AND METALLURGY OF WELDE                     $A$""$4$3$0$2$60$15$2018$2
555$MCL782$COMPUTATIONAL METHODS                              $B$""$2$2$0$0$60$37$2018$2
556$MCL784$COMPUTER AIDED MANUFACTURING                       $F$""$4$3$0$2$60$25$2018$2
557$MCL786$METROLOGY                                          $E$""$3$2$0$2$60$20$2018$2
558$MCL813$COMPUTATIONAL HEAT TRANSFER                        $E$""$4$3$0$2$25$27$2018$2
559$MCL814$CONVECTIVE HEAT TRANSFER                           $F$""$3$3$0$0$60$34$2018$2
560$MCL818$HEATING, VENTILATING AND AIR C                     $J$""$3$3$0$0$60$6$2018$2
561$MCL821$RADIATION HEAT TRANSFER                            $J$""$3$3$0$0$60$8$2018$2
562$MCL822$STEAM AND GAS TURBINES                             $B$""$4$3$0$2$60$2$2018$2
563$MCL823$THERMAL DESIGN                                     $B$""$4$3$0$2$60$12$2018$2
564$MCL825$DESIGN OF WIND POWER FARMS                         $D$""$4$3$0$2$60$22$2018$2
565$MCL826$INTRODUCTION TO MICROFLUIDICS                      $H$""$4$3$0$2$60$11$2018$2
566$MCL865$ADVANCED OPERATIONS RESEARCH                       $J$PE$3$3$0$0$60$43$2018$2
567$MCP100$ENGG. VISUALIZATION & COMM.                        $Q$""$1.5$0$0$3$100$471$2018$2
568$MCP101$PRODUCT REALIZATION BY MANF.                       $Q$""$2$0$0$4$500$455$2018$2
569$MCP261$INDUSTRIAL ENGINEERING LAB   I                     $Q$""$1$0$0$2$100$59$2018$2
570$MCP301$MECHANICAL ENGINEERING LAB   I                     $Q$""$1.5$0$0$3$100$76$2018$2
571$MCP331$MANUFACTURING LABORATORY II                        $Q$""$1$0$0$2$100$79$2018$2
572$MCP332$PRODUCTION ENGINEERING LAB  II                     $Q$""$1$0$0$2$100$63$2018$2
573$MCQ301$SEMINAR COURSE   I                                 $X$""$1$0$0$2$30$30$2018$2
574$MCQ302$SEMINAR COURSE   II                                $X$""$1$0$0$2$30$28$2018$2
575$MCQ303$SEMINAR COURSE   III                               $X$""$1$0$0$2$30$30$2018$2
576$MCV849$SPECIAL MODULE IN SYSTEM DESIGN                    $C$""$1$1$0$0$30$7$2018$2
577$MEC410$COLLOQUIUM (ME)                                    $P$""$3$0$3$0$10$1$2018$2
578$MED411$MAJOR PROJECT PART 1 (ME)                          $P$""$3$0$0$6$60$0$2018$2
579$MED412$MAJOR PROJECT PART 2 (ME)                          $P$""$7$0$0$14$100$2$2018$2
580$MSD792$MINOR PROJECT                                      $P$""$3$0$0$6$60$17$2018$2
581$MSD890$MAJOR PROJECT (UNIQUE CORE)                        $P$""$6$0$0$12$60$85$2018$2
